School,State,School_Type,SubsidizedDL,UNSubsidizedDL
JOHN TYLER COMMUNITY COLLEGE,VA,Public,1675718,1850693
CENTRAL VIRGINIA COMMUNITY COLLEGE,VA,Public,159993,135936
MILLERMOTTE TECHNICAL COLLEGE,VA,Proprietary,3717804,5401391
DABNEY S LANCASTER COMMUNITY COLLEGE,VA,Public,273176,320029
NEW RIVER COMMUNITY COLLEGE,VA,Public,1011638,814314
JEFFERSON COLLEGE OF HEALTH SCIENCES,VA,PrivateNonprofit,1133856,1341021
BLUE RIDGE COMMUNITY COLLEGE,VA,Public,1122476,1188958
THOMAS NELSON COMMUNITY COLLEGE,VA,Public,4249355,4234544
LORD FAIRFAX COMMUNITY COLLEGE,VA,Public,923958,1095893
GERMANNA COMMUNITY COLLEGE,VA,Public,909281,1398799
EVEREST COLLEGE,VA,Proprietary,938851,1414879
SANFORDBROWN COLLEGE,VA,Proprietary,59045,92271
STAUNTON SCHOOL OF COSMETOLOGY,VA,Proprietary,12890,14278
PIEDMONT VIRGINIA COMMUNITY COLLEGE,VA,Public,689524,782121
BON SECOURS MEMORIAL COLLEGE OF NURSING,VA,PrivateNonprofit,557370,649045
ECPI UNIVERSITY,VA,Proprietary,7100695,9060778
EASTERN VIRGINIA MEDICAL SCHOOL,VA,Public,NA,NA
SYLVAIN MELLOUL INTERNATIONAL HAIR ACADEMY,VA,Proprietary,70674,94252
SOUTHSIDE REGIONAL MEDICAL CENTER PROFESSIONAL SCHOOLS,VA,Proprietary,140484,171366
LIBERTY UNIVERSITY,VA,PrivateNonprofit,42052986,53196359
WARDS CORNER BEAUTY ACADEMY,VA,Proprietary,133201,207518
DANVILLE REGIONAL MEDICAL CENTER SCHOOL OF HEALTH PROFESSIONS,VA,Proprietary,15000,17462
RIVERSIDE SCHOOL OF HEALTH CAREERS,VA,PrivateNonprofit,230382,279193
CENTRA COLLEGE OF NURSING,VA,PrivateNonprofit,203893,238185
HENRICO COUNTYSAINT MARYS HOSPITAL SCHOOL OF PRACTICAL NURSING,VA,Public,28000,27000
TIDEWATER TECH,VA,Proprietary,294696,464251
CENTURA COLLEGE,VA,Proprietary,1474419,2238020
FORTIS COLLEGE,VA,Proprietary,1071599,1500366
BON SECOURS ST MARYS HOSPITAL SCHOOL OF MEDICAL IMAGING,VA,PrivateNonprofit,35750,36530
SUFFOLK BEAUTY ACADEMY,VA,Proprietary,48250,51206
STRATFORD UNIVERSITY,VA,Proprietary,2003400,3121887
MEDTECH COLLEGE,VA,Proprietary,826924,1309772
GRAHAM WEBB INTERNATIONAL ACADEMY OF HAIR,VA,Proprietary,67166,109107
BAR PALMA BEAUTY CAREERS ACADEMY,VA,Proprietary,28174,33448
REGENT UNIVERSITY,VA,PrivateNonprofit,2697919,3271132
SKYLINE COLLEGE,VA,Proprietary,154745,201463
SPRINGFIELD BEAUTY ACADEMY,VA,Proprietary,38111,18514
SENTARA COLLEGE OF HEALTH SCIENCES,VA,PrivateNonprofit,505549,667711
BAPTIST THEOLOGICAL SEMINARY AT RICHMOND,VA,PrivateNonprofit,NA,NA
AVIATION INSTITUTE OF MAINTENANCE,VA,Proprietary,198041,297444
CENTURA COLLEGE,VA,Proprietary,374092,582553
ADVANCED TECHNOLOGY INSTITUTE,VA,Proprietary,269314,293631
VIRGINIA SCHOOL OF MASSAGE,VA,Proprietary,41964,66668
RSHT,VA,Proprietary,145437,161528
APPALACHIAN SCHOOL OF LAW,VA,PrivateNonprofit,NA,NA
RUDY AND KELLY ACADEMY OF HAIR ANDNAILS,VA,Proprietary,167524,214304
CAREER TRAINING SOLUTIONS,VA,Proprietary,111533,162120
EDWARD VIA VIRGINIA COLLEGE OF OSTEOPATHIC MEDICINE,VA,PrivateNonprofit,NA,NA
INSTITUTE FOR THE PSYCHOLOGICAL SCIENCES,VA,PrivateNonprofit,NA,NA
CULPEPER COSMETOLOGY TRAINING CENTER,VA,Public,31423,24000
