Species	Infraorder	Family	Distribution	Body mass male (Kg)	Geographic range size (log km2)	Diet	Interaction	Fleshy fruits	Dry Fruits	Seeds	Flowers	Leaves	Gum	Bark	Nectar	Fungi	Vertebrates	Insects	Main References
Cacajao_calvus	Simiiformes	Pitheciidae	America	2.5	5.720410708	Frugivore	Antagonism	1	1	1	0	0	0	0	0	0	0	0	"11, 52"
Cacajao_melanocephalus	Simiiformes	Pitheciidae	America	3.2	5.701226	Frugivore	Antagonism	1	1	1	0	0	0	0	0	0	0	0	"11, 52, 57, 61, 72, 73 267"
Cacajo_hosomi	Simiiformes	Pitheciidae	America	3.2	4.551449998	Frugivore	Antagonism	1	1	1	0	0	0	0	0	0	0	0	"11, 52"
Callibella_humilis	Simiiformes	Cebidae	America	0.17	3.697578034	Frugivore	Antagonism	1	0	0	0	0	1	0	0	0	0	0	"10, 11, 41"
Callicebus_baptista	Simiiformes	Pitheciidae	America	1.05	3.959285435	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_barbarabrownae	Simiiformes	Pitheciidae	America	1.05	6.218297287	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_bernhardi	Simiiformes	Pitheciidae	America	1.05	4.881897689	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_brunneus	Simiiformes	Pitheciidae	America	0.805	5.714371	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 78, 265, 266"
Callicebus_caligatus	Simiiformes	Pitheciidae	America	0.88	5.949834	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_cinerascens	Simiiformes	Pitheciidae	America	1.05	4.903185	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
Callicebus_coimbrai	Simiiformes	Pitheciidae	America	1.05	4.215558257	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 90"
Callicebus_cupreus	Simiiformes	Pitheciidae	America	1.12	6.092220462	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 310"
Callicebus_discolor	Simiiformes	Pitheciidae	America	1.05	5.152240536	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11, 87"
Callicebus_donacophilus	Simiiformes	Pitheciidae	America	0.909	5.71033742	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"10, 11"
