HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)
1980	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	pacificus	1461	1461	53	NA	1	1	NA	39	NA	337.8	0.069	29	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1981	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	puffinus	1825	1643	51	NA	1	1	NA	45	NA	434	NA	50.9	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1982	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	tenuirostris	NA	NA	53	NA	1	NA	NA	NA	NA	499.4	NA	39.9	972	wild	medium	acceptable	NA	NA	NA	NA	NA
1984	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	fischeri	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.3	NA	12.6	669	captivity	large	questionable	NA	NA	NA	NA	NA
1985	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	lilianae	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.3	NA	19.2	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
1986	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	pullarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	NA	18	575	captivity	small	acceptable	NA	NA	NA	NA	NA
1987	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	roseicollis	150	150	23	NA	5	NA	NA	NA	NA	54.8	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
1988	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Agapornis	taranta	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.5	NA	14.6	669	captivity	tiny	acceptable	NA	NA	NA	NA	NA
1989	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Alisterus	scapularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	232.5	NA	26.6	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
1990	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	aestiva	NA	NA	NA	NA	NA	NA	NA	NA	NA	451	0.181	49	669	captivity	large	acceptable	NA	NA	NA	NA	NA
1991	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	albifrons	NA	NA	NA	NA	NA	NA	NA	NA	NA	215	NA	25.3	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
1992	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	amazonica	NA	NA	NA	NA	NA	NA	NA	NA	NA	370	NA	30	575	captivity	medium	acceptable	NA	NA	NA	NA	NA
1993	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	auropalliata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	575	captivity	medium	acceptable	NA	NA	NA	NA	NA
1994	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	autumnalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	416	NA	27	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
1995	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	barbadensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	270	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
1996	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	farinosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	626	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
1997	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	festiva	NA	NA	NA	NA	NA	NA	NA	NA	NA	430	NA	24.5	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
1998	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	finschi	NA	NA	NA	NA	NA	NA	NA	NA	NA	302	0.186	25.8	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
1999	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	guildingii	NA	NA	NA	NA	NA	NA	NA	NA	NA	646	NA	28	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2000	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	leucocephala	NA	NA	NA	NA	NA	NA	NA	NA	NA	235.5	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
2001	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	ochrocephala	NA	NA	NA	NA	NA	NA	NA	NA	NA	430	0.158	56	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2002	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	oratrix	NA	NA	NA	NA	NA	NA	NA	NA	NA	517	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
2003	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	rhodocorytha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2004	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	versicolor	NA	NA	NA	NA	NA	NA	NA	NA	NA	676	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
2005	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	viridigenalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	316	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
2006	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Amazona	vittata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
2007	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Anodorhynchus	glaucus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
2008	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Anodorhynchus	hyacinthinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	1330	NA	38.8	669	captivity	tiny	acceptable	NA	NA	NA	NA	NA
2009	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Anodorhynchus	leari	NA	NA	NA	NA	NA	NA	NA	NA	NA	940	NA	38.3	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2010	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aprosmictus	erythropterus	NA	NA	NA	NA	NA	NA	NA	NA	NA	136	NA	24.4	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2011	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	ambiguus	NA	NA	NA	NA	NA	NA	NA	NA	NA	1300	0.119	29	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2012	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	ararauna	NA	NA	NA	NA	NA	NA	NA	NA	NA	1030	0.126	43	575	captivity	large	acceptable	NA	NA	NA	NA	NA
2013	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	chloropterus	NA	NA	28	NA	2.5	NA	NA	NA	NA	1220	0.112	50.1	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2014	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	glaucogularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	784	NA	22	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2015	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	macao	NA	NA	NA	NA	NA	NA	NA	NA	NA	1040	0.12	33	669	captivity	large	acceptable	NA	NA	NA	NA	NA
2016	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	militaris	NA	NA	NA	NA	NA	NA	NA	NA	NA	1134	0.12	46	669	captivity	large	acceptable	NA	NA	NA	NA	NA
2017	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	rubrogenys	NA	NA	NA	NA	NA	NA	NA	NA	NA	470	0.13	23	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2018	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	severus	NA	NA	NA	NA	NA	NA	NA	NA	NA	343	NA	28.5	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2019	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	acuticaudata	NA	NA	NA	NA	NA	NA	NA	NA	NA	171	NA	31	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2020	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	auricapillus	NA	NA	NA	NA	NA	NA	NA	NA	NA	130	NA	20.9	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2021	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	canicularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	NA	16.2	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2022	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	chloroptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	146	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
2023	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	erythrogenys	NA	NA	NA	NA	NA	NA	NA	NA	NA	151	NA	26.2	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2024	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	holochlora	NA	NA	NA	NA	NA	NA	NA	NA	NA	138	NA	21.8	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2025	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Barnardius	zonarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	150	NA	17.9	669	captivity	small	acceptable	NA	NA	0.718	137	NA
2026	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Bolborhynchus	orbygnesius	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.1	NA	9.2	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2027	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	chiriri	NA	NA	26	NA	5	NA	NA	NA	NA	61.6	NA	19	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2028	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	pyrrhoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	11.3	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2029	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	sanctithomae	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	NA	13.2	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2030	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	tirica	NA	NA	NA	NA	NA	NA	NA	NA	NA	63	NA	11	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2031	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	versicolurus	730	730	25	NA	5	1	NA	NA	NA	71.6	NA	10.3	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2032	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	alba	2000	2000	30	NA	2	NA	NA	NA	NA	570	0.13	26.9	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2033	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	ducorpsii	NA	NA	NA	NA	NA	NA	NA	NA	NA	394	NA	30.5	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2034	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	galerita	NA	NA	27	NA	2	NA	NA	NA	NA	800	NA	57	669	captivity	large	acceptable	NA	NA	3.419	776.1	NA
2035	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	goffiniana	NA	NA	NA	NA	NA	NA	NA	NA	NA	275	NA	26	website feedback	captivity	small	questionable	NA	NA	NA	NA	NA
2036	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	haematuropygia	NA	NA	NA	NA	NA	NA	NA	NA	NA	288	0.13	17.3	669	captivity	medium	questionable	NA	NA	NA	NA	NA
2037	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	leadbeateri	NA	NA	NA	NA	NA	NA	NA	NA	NA	390	NA	80	852	captivity	medium	acceptable	NA	NA	NA	NA	NA
2038	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	moluccensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	830	NA	65.8	669	captivity	large	acceptable	NA	NA	NA	NA	NA
2039	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	ophthalmica	NA	NA	NA	NA	NA	NA	NA	NA	NA	492	NA	31.9	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2040	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	pastinator	NA	NA	NA	NA	NA	NA	NA	NA	NA	637	NA	26.3	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2041	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	sanguinea	NA	NA	NA	NA	NA	NA	NA	NA	NA	350	0.165	46.9	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2042	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	sulphurea	NA	NA	NA	NA	NA	NA	NA	NA	NA	340	0.138	49.7	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2043	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cacatua	tenuirostris	NA	NA	NA	NA	NA	NA	NA	NA	NA	567	NA	43	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2044	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Callocephalon	fimbriatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	256	NA	27.5	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2045	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Calyptorhynchus	banksii	NA	NA	NA	NA	NA	NA	NA	NA	NA	723.7	NA	45.4	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2046	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Calyptorhynchus	baudinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	620	NA	47	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2047	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Calyptorhynchus	funereus	NA	NA	NA	NA	NA	NA	NA	NA	NA	678.5	0.124	41	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2048	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Calyptorhynchus	lathami	NA	NA	NA	NA	NA	NA	NA	NA	NA	437	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA
2049	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Chalcopsitta	atra	NA	NA	NA	NA	NA	NA	NA	NA	NA	260	NA	17.5	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2050	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Chalcopsitta	sintillata	NA	NA	NA	NA	NA	NA	NA	NA	NA	190	NA	19.7	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2051	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Charmosyna	papou	NA	NA	NA	NA	NA	NA	NA	NA	NA	83	NA	11.3	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2052	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Conuropsis	carolinensis	NA	NA	22	NA	2.5	1	NA	NA	NA	100	NA	30	445	captivity	small	acceptable	NA	NA	NA	NA	NA
2053	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Coracopsis	nigra	NA	NA	NA	NA	NA	NA	NA	NA	NA	193.5	NA	34.1	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2054	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Coracopsis	vasa	NA	NA	NA	NA	NA	NA	NA	NA	NA	525	NA	53.9	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2055	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cyanoliseus	patagonus	NA	NA	NA	NA	NA	NA	NA	NA	NA	278	NA	19.5	669	captivity	large	acceptable	NA	NA	NA	NA	NA
2056	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cyanopsitta	spixii	NA	NA	NA	NA	NA	NA	NA	NA	NA	200	NA	27	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2057	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cyanoramphus	auriceps	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	9.3	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2058	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Cyanoramphus	novaezelandiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.6	NA	12.4	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2059	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Deroptyus	accipitrinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	246	NA	21.8	575	captivity	medium	acceptable	NA	NA	NA	NA	NA
2060	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Diopsittaca	nobilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	151	NA	22.9	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2061	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Eclectus	roratus	NA	NA	NA	NA	NA	NA	NA	NA	NA	440	0.128	28.5	669	captivity	large	acceptable	NA	NA	NA	NA	NA
2062	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Enicognathus	leptorhynchus	NA	NA	NA	NA	NA	NA	NA	NA	NA	193	NA	15.3	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2063	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Eolophus	roseicapilla	NA	NA	NA	NA	NA	NA	NA	NA	NA	300	0.173	40	575	captivity	large	acceptable	NA	NA	1.248	268.7	NA
2064	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Eos	bornea	NA	NA	NA	NA	NA	NA	NA	NA	NA	156	NA	24.7	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2065	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Eos	cyanogenia	NA	NA	NA	NA	NA	NA	NA	NA	NA	167	NA	18.1	669	captivity	tiny	acceptable	NA	NA	NA	NA	NA
2066	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Eos	histrio	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2067	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Eos	reticulata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2068	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Eos	squamata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2069	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Eunymphicus	cornutus	NA	NA	NA	NA	NA	NA	NA	NA	NA	130	NA	19.7	575	captivity	small	acceptable	NA	NA	NA	NA	NA
2070	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Forpus	coelestis	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.2	NA	10.4	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2071	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Forpus	cyanopygius	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.5	NA	10.5	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2072	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Forpus	passerinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0.235	11.6	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2073	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Forpus	xanthops	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2074	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Glossopsitta	concinna	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.8	NA	11.5	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2075	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Glossopsitta	porphyrocephala	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	12	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2076	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Graydidascalus	brachyurus	NA	NA	NA	NA	NA	NA	NA	NA	NA	159	NA	13.2	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2077	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Guaruba	guarouba	NA	NA	NA	NA	NA	NA	NA	NA	NA	250	NA	23.2	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2078	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Loriculus	galgulus	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	NA	14.3	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2079	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Loriculus	philippensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.9	NA	10.1	669	captivity	tiny	acceptable	NA	NA	NA	NA	NA
2080	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Loriculus	vernalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.7	NA	10.1	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2081	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lorius	domicella	NA	NA	NA	NA	NA	NA	NA	NA	NA	182	NA	26	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2082	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lorius	garrulus	NA	NA	NA	NA	NA	NA	NA	NA	NA	143	NA	26.6	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2083	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lorius	lory	NA	NA	NA	NA	NA	NA	NA	NA	NA	177	NA	18.5	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2084	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Melopsittacus	undulatus	180	180	18	NA	5	NA	NA	NA	NA	30	0.231	21	669	captivity	large	high	NA	NA	0.3035	25.2	314.15
2085	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Myiopsitta	monachus	730	730	31	NA	7	2	NA	4.76	NA	81.7	0.244	22.1	669	captivity	large	acceptable	NA	NA	0.5189	80.4	NA
2086	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nandayus	nenday	NA	NA	NA	NA	NA	NA	NA	NA	NA	128	NA	18.7	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2087	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Neophema	chrysostoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.1	NA	21	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2088	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Neophema	pulchella	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.4	NA	21	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2089	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Neophema	splendida	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.6	NA	14	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2090	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Neopsephotus	bourkii	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	12.6	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2091	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	meridionalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	429	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
2092	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	notabilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	867.5	NA	47	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2093	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Northiella	haematogaster	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.2	NA	15.3	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2094	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nymphicus	hollandicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	NA	35	669	captivity	large	acceptable	NA	NA	NA	NA	NA
2095	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Phigys	solitarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.6	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
2096	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pionites	leucogaster	NA	NA	NA	NA	NA	NA	NA	NA	NA	155	NA	26	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2097	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pionites	melanocephalus	NA	NA	NA	NA	NA	NA	NA	NA	NA	149	NA	22.6	669	captivity	small	acceptable	NA	NA	NA	NA	NA
2098	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pionopsitta	pileata	NA	NA	NA	NA	NA	NA	NA	NA	NA	119	NA	16.8	669	captivity	tiny	acceptable	NA	NA	NA	NA	NA
2099	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pionus	maximiliani	NA	NA	NA	NA	NA	NA	NA	NA	NA	293	NA	16.2	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2100	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Pionus	menstruus	NA	NA	NA	NA	NA	NA	NA	NA	NA	251	NA	20.6	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2101	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Platycercus	elegans	NA	NA	NA	NA	NA	NA	NA	NA	NA	124.5	NA	26.8	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2102	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Platycercus	eximius	NA	NA	NA	NA	NA	NA	NA	NA	NA	104	NA	27.4	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2103	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Platycercus	icterotis	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.3	NA	13.2	669	captivity	small	questionable	NA	NA	NA	NA	NA
2104	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Platycercus	venustus	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.5	NA	19.1	669	captivity	tiny	acceptable	NA	NA	NA	NA	NA
2105	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Poicephalus	cryptoxanthus	NA	NA	NA	NA	NA	NA	NA	NA	NA	140	NA	32.1	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2106	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Poicephalus	gulielmi	NA	NA	NA	NA	NA	NA	NA	NA	NA	275	NA	21	669	captivity	medium	acceptable	NA	NA	NA	NA	NA
2107	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Poicephalus	meyeri	NA	NA	NA	NA	NA	NA	NA	NA	NA	117.5	NA	34.2	575	captivity	medium	acceptable	NA	NA	NA	NA	NA
