HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)
74	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Dorosoma	petenense	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA
75	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Escualosa	thoracata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
76	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Gilchristella	aestuaria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA
77	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Harengula	jaguana	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA
78	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Potamalosa	richmondia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA
79	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardina	pilchardus	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA
80	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinella	aurita	365	365	NA	NA	NA	NA	NA	NA	NA	125.95	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA
81	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinella	gibbosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA
82	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinella	longiceps	730	719	NA	NA	NA	NA	NA	NA	NA	110	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA
83	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinops	sagax	821	821	NA	NA	NA	NA	NA	NA	NA	267.3	NA	25	454	wild	medium	acceptable	NA	NA	NA	NA	NA
84	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sprattus	sprattus	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA
