Species Name ,Order,Brain Mass (g),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Pteromyscus pulverulentus,Rodentia,3.55,400.00,0.73,0.081133079,0.761697252,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dipodomys spectabilis,Rodentia,1.93,144.55,0.84,0.083729579,0.761658057,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Gerbillus gleadowi,Rodentia,0.69,26.10,1.08,0.08827107,0.76147354,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus boylii,Rodentia,0.71,27.47,1.07,0.08794436,0.7598593,Mace & Eisenberg 1982,
Dipodomys deserti,Rodentia,1.74,122.45,0.86,0.083941478,0.759668124,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus franklinii,Rodentia,3.82,455.50,0.71,0.08043159,0.758159122,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Wallabia bicolor,Diprotodontia,32.70,16400.00,0.42,0.071754764,0.755842789,Sherwood/this study; Silva & Downing 1995,
Hybomys trivirgatus,Rodentia,1.10,57.50,0.96,0.085489295,0.755756705,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Apodemus sylvaticus,Rodentia,0.59,20.10,1.11,0.08824876,0.755141367,Mace 1981; Count 1947; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Platyrrhinus helleri,Chiroptera,0.42,11.60,1.20,0.089628424,0.753988162,Pirlot & Stephan 1970,
Reithrodontomys megalotis,Rodentia,0.40,10.70,1.22,0.089823151,0.753736862,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lophuromys sikapusi,Rodentia,1.13,60.70,0.94,0.08487032,0.751545466,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus pennsylvanicus ,Rodentia,0.74,30.13,1.04,0.086695109,0.751217385,Crile & Quiring 1940; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus leucopus,Rodentia,0.60,21.21,1.10,0.087493048,0.749923356,Mace & Eisenberg 1982,
Rattus sordidus,Rodentia,1.70,120.67,0.85,0.082763107,0.748663331,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus melanophrys,Rodentia,0.94,45.00,0.98,0.085274703,0.748152921,Mace & Eisenberg 1982; Silva & Downing 1995,
Cricetomys gambianus,Rodentia,6.57,1150.00,0.61,0.077114224,0.748060453,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Micromys minutus,Rodentia,0.29,6.40,1.30,0.090067455,0.743840882,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tatera indica,Rodentia,1.84,139.70,0.82,0.08167109,0.742147126,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Gerbillus pyramidum,Rodentia,0.88,40.90,0.99,0.08479197,0.741717828,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myoxus glis,Rodentia,1.90,148.00,0.82,0.08131823,0.740263953,Warncke 1908; Silva & Downing 1995,
Sturnira lilium,Chiroptera,0.52,17.10,1.12,0.086866487,0.739597965,Pirlot & Stephan 1970,
Rattus fuscipes,Rodentia,1.69,122.00,0.84,0.081707723,0.739368317,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Orthogeomys cherriei,Rodentia,3.47,405.00,0.70,0.078699125,0.739131275,Hafner 1984,
Peromyscus californicus,Rodentia,0.91,43.53,0.97,0.084297407,0.738819364,Mace & Eisenberg 1982; Silva & Downing 1995,
Neofiber alleni,Rodentia,2.72,270.50,0.74,0.079568435,0.738003757,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Perognathus longimembris,Rodentia,0.33,8.15,1.23,0.088146604,0.73345258,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cynomys gunnisoni,Rodentia,5.16,796.30,0.63,0.076372983,0.732476511,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Oligoryzomys longicaudatus,Rodentia,0.67,26.60,1.03,0.084692304,0.731031096,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Antechinus swainsonii,Dasyuromorphia,1.13,63.50,0.91,0.082433832,0.730991031,Ashwell 2007; Silva & Downing 1995,
Uranomys ruddi,Rodentia,0.77,33.60,1.00,0.083992421,0.730259456,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus undulatus,Rodentia,4.84,725.30,0.63,0.075985052,0.726649176,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Arvicanthis niloticus,Rodentia,1.33,84.50,0.87,0.081072678,0.725316648,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Liomys irroratus,Rodentia,1.06,57.70,0.92,0.081945941,0.724510143,Hafner 1984,
Nyctomys sumichrasti,Rodentia,1.08,60.00,0.91,0.081710859,0.723307612,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Phalanger ornatus,Diprotodontia,7.27,1448.00,0.57,0.073811047,0.721150254,Ashwell 2007; Silva & Downing 1995,
Clethrionomys glareolus,Rodentia,0.52,17.90,1.08,0.084396131,0.719584095,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chaetodipus baileyi,Rodentia,0.70,29.75,1.00,0.082651484,0.715894993,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus gossypinus,Rodentia,0.68,28.25,1.00,0.082753377,0.715628902,Mace & Eisenberg 1982,
Glossophaga soricina,Chiroptera,0.39,11.20,1.15,0.085089798,0.715029276,Pirlot & Stephan 1970,
Murexia rothschildi,Dasyuromorphia,1.09,62.00,0.89,0.080615649,0.714338522,Ashwell 2007; Silva & Downing 1995,
Artibeus lituratus,Chiroptera,1.05,58.70,0.90,0.080546767,0.712519031,Pirlot & Stephan 1970,
Microtus agrestis,Rodentia,0.74,32.40,0.98,0.082035702,0.712443393,Count 1947; Silva & Downing 1995,
Spermophilus columbianus,Rodentia,3.74,488.20,0.66,0.07536439,0.711923435,Iwaniuk 2001; Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Orthogeomys hispidus,Rodentia,3.98,542.10,0.65,0.075050974,0.711268157,Hafner 1984,
Peromyscus merriami,Rodentia,0.56,20.72,1.04,0.082873476,0.709813421,Mace & Eisenberg 1982,
Cynomys leucurus,Rodentia,5.69,992.10,0.59,0.073308652,0.707895297,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus megalops,Rodentia,1.12,66.20,0.88,0.079639054,0.707120225,Mace & Eisenberg 1982; Silva & Downing 1995,
Orthogeomys heterodus,Rodentia,4.31,630.00,0.63,0.073950082,0.704107202,Hafner 1984,
Peromyscus maniculatus,Rodentia,0.57,21.65,1.03,0.08204845,0.703704204,Mace & Eisenberg 1982,
Zygogeomys trichopus,Rodentia,3.95,545.00,0.64,0.074214369,0.703455873,Hafner 1984,
Peromyscus eremicus,Rodentia,0.54,19.93,1.03,0.081898154,0.700614967,Mace & Eisenberg 1982,
Peromyscus melanocarpus,Rodentia,1.03,58.80,0.88,0.078927726,0.698233786,Mace & Eisenberg 1982; Silva & Downing 1995,
Carollia perspicillata,Chiroptera,0.47,16.00,1.06,0.081878072,0.695690221,Pirlot & Stephan 1970,
Isthmomys pirrensis,Rodentia,1.71,138.00,0.77,0.076489508,0.694798207,Mace & Eisenberg 1982; Silva & Downing 1995,
Antechinus minimus,Dasyuromorphia,0.77,36.30,0.94,0.079645245,0.694124751,Ashwell 2007; Silva & Downing 1995,
Peromyscus polionotus,Rodentia,0.42,13.32,1.09,0.08215333,0.694067971,Mace & Eisenberg 1982; Silva & Downing 1995,
Microtus townsendii,Rodentia,0.88,45.80,0.91,0.078948887,0.693032204,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chaetodipus fallax,Rodentia,0.54,20.30,1.02,0.080761162,0.691282411,Hafner 1984,
Philander opossum,Didelphimorphia,3.97,570.00,0.62,0.072522197,0.688372713,Ashwell 2007; Silva & Downing 1995,
Synaptomys cooperi,Rodentia,0.59,23.80,0.99,0.080002104,0.688170209,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Perognathus parvus,Rodentia,0.49,17.30,1.04,0.080745807,0.687733187,Hafner 1984,
Chaetodipus californicus,Rodentia,0.62,26.00,0.98,0.079713574,0.687570171,Hafner 1984,
Spermophilus tereticaudus,Rodentia,1.82,156.60,0.75,0.075167005,0.685466703,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dinomys branickii,Rodentia,26.95,14000.00,0.39,0.065346366,0.684970674,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Nycteris arge,Chiroptera,0.36,10.60,1.10,0.081321234,0.682195754,Pirlot & Stephan 1970,
Caluromys lanatus,Didelphimorphia,3.10,384.00,0.65,0.072697278,0.681636738,Warncke 1908; Silva & Downing 1995,
Oryzomys palustris,Rodentia,0.88,47.10,0.89,0.077566811,0.681491052,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Apodemus flavicollis,Rodentia,0.70,32.30,0.94,0.078281783,0.679777142,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pappogeomys gymnurus,Rodentia,4.19,637.00,0.60,0.071317908,0.67927791,Hafner 1984,
Chaetodipus penicillatus,Rodentia,0.46,16.25,1.03,0.079859563,0.67886584,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chaetodipus formosus,Rodentia,0.49,18.10,1.01,0.07941309,0.677330613,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lophuromys flavopunctatus,Rodentia,1.01,60.00,0.85,0.076414785,0.676426563,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sminthopsis laniger,Dasyuromorphia,0.49,17.80,1.01,0.079307097,0.676076192,Ashwell 2007; Silva & Downing 1995,
Geocapromys ingrahami,Rodentia,4.46,717.30,0.59,0.070511036,0.674069056,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus townsendii,Rodentia,2.06,199.00,0.71,0.073140915,0.671963069,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pectinator spekei,Rodentia,1.93,180.00,0.72,0.073004531,0.668626887,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lemniscomys striatus,Rodentia,0.85,46.20,0.87,0.07584017,0.665922625,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Perognathus flavus,Rodentia,0.31,8.40,1.11,0.079894754,0.665413322,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Hydromys chrysogaster,Rodentia,4.33,698.00,0.58,0.069644141,0.665219043,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Antechinus flavipes,Dasyuromorphia,0.66,30.70,0.92,0.076564046,0.6638145,Ashwell 2007; Silva & Downing 1995,
Sminthopsis griseoventer,Dasyuromorphia,0.51,19.80,0.98,0.077308912,0.661221173,Ashwell 2007; Silva & Downing 1995,
Heteromys desmarestianus,Rodentia,1.13,74.65,0.81,0.074177365,0.661082863,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Neotoma albigula,Rodentia,2.17,223.10,0.69,0.071684616,0.660921716,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Perameles bougainville,Peramelemorphia,3.33,457.00,0.62,0.069875853,0.658726444,Ashwell 2007; Silva & Downing 1995,
Lagostomus maximus,Rodentia,12.66,4270.75,0.44,0.064931442,0.656026294,Count 1947; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Praomys morio,Rodentia,0.84,46.50,0.86,0.074642458,0.655537506,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myocastor coypus,Rodentia,17.09,7052.00,0.41,0.063874345,0.655457762,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Potamogale velox,Afrosoricida,4.05,650.00,0.58,0.068060218,0.648655675,Stephan 1981; Stolzenburg 1989; Silva & Downing 1995,
Holochilus sciureus,Rodentia,1.41,112.30,0.74,0.071828855,0.648307863,Bininda-Emonds 2000,
Dasyurus hallucatus,Dasyuromorphia,3.50,513.00,0.59,0.068400906,0.647136755,Ashwell 2007; Silva & Downing 1995,
Microgale cowani,Afrosoricida,0.42,15.20,0.98,0.075574528,0.641110911,Stephan 1981; Silva & Downing 1995,
Petauroides volans,Diprotodontia,4.86,900.00,0.54,0.06656946,0.640880596,Ashwell 2007; Silva & Downing 1995,
Isoodon macrourus,Peramelemorphia,4.58,822.00,0.55,0.066430476,0.637747793,Ashwell 2007; Silva & Downing 1995,
Neotoma cinerea,Rodentia,2.65,331.30,0.62,0.068211187,0.636653371,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus oregoni,Rodentia,0.52,22.00,0.93,0.074097591,0.63582817,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus pinetorum,Rodentia,0.56,24.90,0.91,0.073799887,0.63570913,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus californicus,Rodentia,0.78,43.30,0.84,0.072500366,0.635319075,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chaetodipus spinatus,Rodentia,0.48,19.10,0.94,0.074242911,0.634289609,Hafner 1984,
Mormoops megalophylla,Chiroptera,0.42,15.60,0.97,0.074345918,0.631196471,Pirlot & Stephan 1970,
Leptonycteris curasoae,Chiroptera,0.55,24.50,0.90,0.073226512,0.630453513,Pirlot & Stephan 1970,
Liomys pictus,Rodentia,0.77,43.35,0.83,0.071843859,0.629588646,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myomys daltoni,Rodentia,0.68,35.00,0.86,0.07228887,0.629300557,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cercartetus concinnus,Diprotodontia,0.31,9.50,1.03,0.075232739,0.62898006,Ashwell 2007; Silva & Downing 1995,
Isoodon obesulus,Peramelemorphia,4.03,691.00,0.55,0.065233123,0.622891721,Ashwell 2007; Silva & Downing 1995,
Geomys pinetis,Rodentia,2.51,313.50,0.61,0.06682188,0.622619366,Hafner 1984,
Marmota monax,Rodentia,10.83,3624.75,0.43,0.061573368,0.618943634,Mace 1981; Spitzka 1903; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myotis bechsteini,Chiroptera,0.27,7.50,1.05,0.074464911,0.618015185,Pirlot & Stephan 1970,
Saccostomus campestris,Rodentia,0.82,49.35,0.80,0.070180929,0.61749236,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Nannospalax ehrenbergi,Rodentia,1.88,197.00,0.65,0.06717677,0.61697582,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sminthopsis crassicaudata,Dasyuromorphia,0.37,13.30,0.97,0.073009829,0.61679565,Ashwell 2007; Silva & Downing 1995,
Solenodon paradoxus,Eulipotyphla,4.67,900.00,0.52,0.063982222,0.615972616,Stephan 1981; Silva & Downing 1995,
Liomys salvini,Rodentia,0.77,44.90,0.80,0.069950809,0.613667256,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chaetodipus hispidus,Rodentia,0.68,37.10,0.82,0.069871887,0.609359571,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Galea musteloides,Rodentia,2.72,375.00,0.58,0.064747743,0.606652754,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sorex trowbridgii,Eulipotyphla,0.21,5.30,1.08,0.073463342,0.603175653,Mace 1981,
Hipposideros caffer,Chiroptera,0.32,10.70,0.98,0.071858521,0.602989489,Pirlot & Stephan 1970,
Geomys bursarius,Rodentia,1.83,197.25,0.63,0.065269295,0.599480444,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Monodelphis brevicaudata,Didelphimorphia,0.93,64.60,0.74,0.067330991,0.597382897,Ashwell 2007; Silva & Downing 1995,
Sorex arcticus,Eulipotyphla,0.27,8.20,1.00,0.071716103,0.596850392,Mace 1981,
Limnogale mergulus,Afrosoricida,1.15,92.00,0.70,0.066438096,0.595957342,Stephan 1981; Silva & Downing 1995,
Sorex monticolus,Eulipotyphla,0.23,6.30,1.04,0.072146191,0.595543565,Mace 1981,
Atelerix albiventris,Eulipotyphla,2.24,280.00,0.60,0.064115164,0.595310071,Mace 1981,
Rattus exulans,Rodentia,0.89,60.30,0.75,0.067124218,0.594277995,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Thomomys talpoides,Rodentia,1.24,105.65,0.69,0.065865215,0.593357776,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus montanus,Rodentia,0.69,39.70,0.79,0.067745701,0.592058768,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rhabdomys pumilio,Rodentia,0.69,39.71,0.79,0.067735448,0.591973565,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Arvicola terrestris,Rodentia,1.64,168.30,0.64,0.064722343,0.591539035,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sminthopsis macroura,Dasyuromorphia,0.41,17.00,0.89,0.06948258,0.59148049,Ashwell 2007; Silva & Downing 1995,
Neotoma micropus,Rodentia,2.66,378.30,0.57,0.062970387,0.590160125,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pteronotus davyi,Chiroptera,0.31,10.60,0.95,0.070026618,0.587446344,Pirlot & Stephan 1970,
Microgale talazaci,Afrosoricida,0.79,50.40,0.76,0.066721051,0.587433622,Stephan 1981; Silva & Downing 1995,
Sorex cinereus,Eulipotyphla,0.17,3.90,1.10,0.072169985,0.586948757,Mace 1981,
Meriones hurrianae,Rodentia,0.97,71.30,0.72,0.065817548,0.585744267,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Beamys hindei,Rodentia,1.11,89.75,0.69,0.065136991,0.583837968,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Megadontomys thomasi,Rodentia,1.26,111.00,0.67,0.064660819,0.583400488,Mace & Eisenberg 1982; Silva & Downing 1995,
Cryptomys hottentotus,Rodentia,1.17,98.40,0.68,0.064785142,0.582342965,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macrotis lagotis,Peramelemorphia,6.81,1859.00,0.44,0.059003706,0.580961725,Ashwell 2007; Silva & Downing 1995,
Didelphis marsupialis,Didelphimorphia,6.05,1535.00,0.45,0.05918211,0.579269119,Warncke 1908,
Ondatra zibethicus,Rodentia,5.03,1136.45,0.47,0.059481948,0.576803405,Crile & Quiring 1940; Silva & Downing 1995,
Perameles gunnii,Peramelemorphia,4.66,1002.00,0.48,0.059688985,0.576556226,Ashwell 2007; Silva & Downing 1995,
Dasypus novemcinctus,Xenarthra,8.50,2743.50,0.41,0.057639201,0.574415271,Crile & Quiring 1940,
Microtus ochrogaster,Rodentia,0.71,43.80,0.76,0.065517549,0.574333188,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Zapus princeps,Rodentia,0.50,24.50,0.82,0.066569557,0.573139558,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Napaeozapus insignis,Rodentia,0.48,23.20,0.82,0.066143592,0.568510482,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cricetus cricetus,Rodentia,2.20,297.00,0.56,0.060671233,0.5643634,Warncke 1908; Silva & Downing 1995,
Rhinolophus hipposideros,Chiroptera,0.24,7.15,0.97,0.068056594,0.563993719,Pirlot & Stephan 1970,
Aethomys chrysophilus,Rodentia,1.25,117.00,0.64,0.062051773,0.560774848,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myotis daubentoni,Chiroptera,0.23,7.00,0.96,0.067505698,0.559060801,Pirlot & Stephan 1970,
Aethomys hindei,Rodentia,1.42,146.30,0.61,0.061219339,0.557098231,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tachyoryctes splendens,Rodentia,1.88,234.00,0.57,0.060263188,0.55644003,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus arvalis,Rodentia,0.55,30.40,0.77,0.0639056,0.553896435,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Otomys irroratus,Rodentia,1.38,141.00,0.61,0.060896353,0.553525521,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Erinaceus europaeus,Eulipotyphla,3.67,720.44,0.48,0.057790235,0.552535891,Mace 1981; Warncke 1908; Silva & Downing 1995,
Perameles nasuta,Peramelemorphia,5.14,1273.00,0.44,0.056567133,0.550470969,Ashwell 2007; Silva & Downing 1995,
Sorex palustris,Eulipotyphla,0.31,11.90,0.87,0.065097007,0.548054247,Mace 1981,
Echymipera rufescens,Peramelemorphia,3.86,798.00,0.47,0.057118162,0.547843966,Ashwell 2007; Silva & Downing 1995,
Myotis mystacinus,Chiroptera,0.16,4.00,1.02,0.06684818,0.544094102,Pirlot & Stephan 1970,
Myotis myotis,Chiroptera,0.48,25.00,0.78,0.063097267,0.543584748,Pirlot & Stephan 1970,
Lagurus lagurus,Rodentia,0.42,20.10,0.80,0.063358084,0.542152777,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus melanotis,Rodentia,0.63,39.60,0.72,0.061953286,0.541394037,Mace & Eisenberg 1982; Silva & Downing 1995,
Thomomys bottae,Rodentia,1.47,162.95,0.59,0.059274069,0.541201504,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Surdisorex polulus,Eulipotyphla,0.40,18.60,0.81,0.06336753,0.540931479,Mace 1981,
Microgale dobsoni,Afrosoricida,0.56,32.60,0.74,0.062261156,0.540813467,Stephan 1981; Silva & Downing 1995,
Hemiechinus auritus,Eulipotyphla,1.90,250.00,0.55,0.058414803,0.540479998,Stephan 1981; Silva & Downing 1995,
Microtus longicaudus,Rodentia,0.70,47.40,0.70,0.061454171,0.540033953,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Marmosa robinsoni,Didelphimorphia,0.73,50.50,0.69,0.061171678,0.538608247,Ashwell 2007; Silva & Downing 1995,
Clethrionomys rufocanus,Rodentia,0.61,38.30,0.72,0.061263368,0.534811332,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myotis nattereri,Chiroptera,0.22,7.00,0.92,0.064570668,0.53475381,Pirlot & Stephan 1970,
Mesembriomys gouldii,Rodentia,4.59,1110.00,0.44,0.055091341,0.533837316,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myopus schisticolor,Rodentia,0.56,33.50,0.73,0.061200393,0.532048439,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Heliophobius argenteocinereus,Rodentia,1.43,160.00,0.58,0.058264737,0.531684596,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lemmus lemmus,Rodentia,0.86,68.90,0.65,0.059628184,0.530098955,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chrysochloris asiatica,Afrosoricida,0.70,49.00,0.69,0.06018022,0.529383526,Stephan 1981; Silva & Downing 1995,
Mimon crenulatum,Chiroptera,0.34,14.80,0.81,0.062217597,0.527365747,Pirlot & Stephan 1970,
Hipposideros bicolor,Chiroptera,0.24,8.40,0.88,0.062785661,0.522918131,Pirlot & Stephan 1970,
Antechinus leo,Dasyuromorphia,0.78,60.20,0.65,0.058663111,0.519341651,Ashwell 2007; Silva & Downing 1995,
Mus platythrix,Rodentia,0.50,29.20,0.72,0.059591303,0.515858183,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Antechinus bellus,Dasyuromorphia,0.65,45.80,0.67,0.058554954,0.514009385,Ashwell 2007; Silva & Downing 1995,
Echymipera clara,Peramelemorphia,4.64,1207.00,0.42,0.052838434,0.513338028,Ashwell 2007; Silva & Downing 1995,
Microtus guentheri,Rodentia,0.69,51.30,0.65,0.057628125,0.50765504,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Aethomys namaquensis,Rodentia,0.89,79.40,0.61,0.056425151,0.503834306,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dicrostonyx torquatus,Rodentia,0.84,73.00,0.61,0.056155464,0.500121587,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Saccopteryx bilineata,Chiroptera,0.22,8.00,0.83,0.059352957,0.493581324,Pirlot & Stephan 1970,
Miniopterus schreibersi,Chiroptera,0.29,12.70,0.78,0.058447684,0.49306684,Pirlot & Stephan 1970,
Sorex vagrans,Eulipotyphla,0.17,5.30,0.87,0.059470324,0.488285053,Mace 1981,
Myotis bocagei,Chiroptera,0.21,7.60,0.83,0.058518795,0.485871214,Pirlot & Stephan 1970,
Marmota flaviventris,Rodentia,10.29,5000.00,0.32,0.047778748,0.485091207,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Mus booduga,Rodentia,0.31,14.60,0.75,0.057216923,0.484774772,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Noctilio albiventris,Chiroptera,0.55,38.50,0.64,0.055056225,0.480702391,Pirlot & Stephan 1970,
Chaerephon pumila,Chiroptera,0.29,13.30,0.75,0.056769762,0.479597647,Pirlot & Stephan 1970,
Myotis dasycneme,Chiroptera,0.31,15.00,0.73,0.056249358,0.476976485,Pirlot & Stephan 1970,
Sigmodon hispidus,Rodentia,1.14,132.50,0.53,0.052318597,0.474641114,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sorex araneus,Eulipotyphla,0.23,8.90,0.79,0.056752746,0.473520237,Mace 1981; Silva & Downing 1995; Stephan 1981,
