Species Name ,Order,Brain Mass (g),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Nasua narica,Carnivora,44.17,6250.00,1.16,0.178154406,1.821333263,Crile & Quiring 1940; Silva & Downing 1995,
Crocuta crocuta,Carnivora,175.00,62370.00,0.83,0.165301888,1.814857927,Crile & Quiring 1940; Silva & Downing 1995,
Callithrix jacchus,Primates,7.73,347.45,1.76,0.19312765,1.80523134,Hrdlicka 1925; Spitzka 1903; Warncke 1908; Silva & Downing 1995,
Eulemur macaco,Primates,22.60,2086.17,1.35,0.182166569,1.80006865,Hrdlicka 1925; Warncke 1908,
Neurotrichus gibbsii,Eulipotyphla,0.91,10.00,2.92,0.21326071,1.78579426,Mace 1981,
Myrmecophaga tridactyla,Xenarthra,84.00,18940.00,0.97,0.168314674,1.780907372,Spitzka 1903; Silva & Downing 1995,
Callosciurus caniceps,Rodentia,6.02,240.00,1.80,0.189912109,1.754929913,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Agouti paca,Rodentia,35.22,4607.00,1.16,0.17218718,1.743762564,Crile & Quiring 1940; Warncke 1908,
Paradoxurus hermaphroditus,Carnivora,25.95,2773.50,1.25,0.174765637,1.742250069,Warncke 1908; Silva & Downing 1995,
Tragelaphus eurycerus,Cetartiodactyla,389.00,253000.00,0.65,0.151862313,1.741274816,Sherwood/this study; Silva & Downing 1995,
Melursus ursinus,Carnivora,267.00,136080.00,0.71,0.15415461,1.733902654,Count 1947,
Puma concolor,Carnivora,154.00,54432.00,0.81,0.158513451,1.732998457,Count 1947,
Mustela erminea,Carnivora,4.57,156.43,1.88,0.188870387,1.722299402,Crile & Quiring 1940; Silva & Downing 1995; Warncke 1908,
Lemur catta,Primates,21.63,2090.00,1.29,0.174172905,1.721177661,Sherwood/this study; Warncke 1908; Silva & Downing 1995,
Lynx canadensis,Carnivora,69.50,14969.00,0.95,0.161550242,1.696911379,Count 1947,
Tamiops macclellandi,Rodentia,1.95,39.00,2.26,0.193616472,1.691164593,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Eumetopias jubatus,Carnivora,661.25,643775.00,0.55,0.143193704,1.690111088,Bininda-Emonds 2000,
Gerbillus dasyurus,Eulipotyphla,1.32,20.50,2.48,0.196664831,1.683881963,Mace 1981,
Phocarctos hookeri,Carnivora,393.75,273500.00,0.62,0.146342325,1.682039533,Bininda-Emonds 2000,
Phoca caspica,Carnivora,162.50,62750.00,0.76,0.15290742,1.679094572,Bininda-Emonds 2000,
Gazella thomsonii,Cetartiodactyla,91.80,24370.00,0.88,0.156893988,1.673090349,Crile & Quiring 1940; Silva & Downing 1995,
Xerus inauris,Rodentia,7.65,400.00,1.56,0.174836071,1.641403937,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Panthera pardus,Carnivora,135.00,48000.00,0.78,0.150431923,1.638245774,Crile & Quiring 1940; Silva & Downing 1995,
Pteropus rufus,Chiroptera,7.30,374.86,1.57,0.173847314,1.628839891,Warncke 1908,
Syncerus caffer,Cetartiodactyla,647.50,665440.00,0.52,0.137318014,1.622424371,Crile & Quiring 1940; Silva & Downing 1995; Quiring 1938,
Halichoerus grypus,Carnivora,307.50,194000.00,0.62,0.141942251,1.614187993,Bininda-Emonds 2000,
Indri indri,Primates,38.30,6250.00,1.01,0.154478464,1.579286031,Stephan 1981; Silva & Downing 1995,
Dremomys rufigenis,Rodentia,5.41,240.00,1.62,0.170668523,1.577104789,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tupaia minor,Scandentia,2.58,70.00,1.94,0.177105603,1.575255165,Stephan 1981; Silva & Downing 1995,
Otocyon megalotis,Carnivora,26.09,3335.00,1.10,0.156411998,1.568218622,Crile & Quiring 1940; Silva & Downing 1995,
Phoca sibirica,Carnivora,187.50,89500.00,0.68,0.141016651,1.56566009,Bininda-Emonds 2000,
Propithecus verreauxi,Primates,26.70,3480.00,1.09,0.155827541,1.56442139,Stephan 1981; Silva & Downing 1995,
Perodicticus potto,Primates,12.07,929.33,1.32,0.162009525,1.561257139,Sherwood/this study; Silva & Downing 1995; Stephan 1981; Warncke 1908,
Leptailurus serval,Carnivora,54.10,11340.00,0.91,0.149832452,1.560340793,Count 1947,
Mirounga leonina,Carnivora,1205.00,2006500.00,0.43,0.127355408,1.55708951,Bininda-Emonds 2000,
Megaptera novaeangliae,Cetartiodactyla,6100.00,30050000.00,0.29,0.116863645,1.553864624,Jacobs & Jensen 1964; Silva & Downing 1995,
Callosciurus notatus,Rodentia,4.91,209.50,1.63,0.168765562,1.552962991,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Kobus ellipsiprymnus,Cetartiodactyla,290.00,188200.00,0.60,0.136452808,1.55030182,Quiring 1938; Silva & Downing 1995,
Tarsius bancanus,Primates,2.70,77.60,1.88,0.173672268,1.549661208,Sherwood/this study; Silva & Downing 1995,
Gymnobelideus leadbeateri,Diprotodontia,2.95,90.50,1.83,0.172356958,1.545274003,Ashwell 2007; Silva & Downing 1995,
Marmota sibirica,Rodentia,18.10,1890.00,1.16,0.155274677,1.529648069,Warncke 1908,
Pteropus lylei,Chiroptera,6.13,314.29,1.50,0.163086068,1.519688224,Stephan et al. 1974,
Galago senegalensis,Primates,5.90,300.33,1.49,0.161567364,1.503418604,Crile & Quiring 1940; Stephan 1981; Warncke 1908; Silva & Downing 1995,
