Taxon	SSFB	TOTB	SSFL	ISFB	MOL	SPL	ISFL	PSSFB	PISFB	GFL	GFB
P	39.99	77.0	38.35	41.93	51.28	62.5	66.52	23.47	30.61	19.45	13.13
P	46.17	78.7	47.31	35.02	57.52	70.72	73.89	24.81	25.87	17.89	12.8
P	56.12	96.62	53.19	47.1	68.94	82.01	86.56	36.24	38.0	22.69	16.35
P	53.21	97.06	49.07	50.46	66.02	79.55	82.86	34.52	41.35	23.31	16.18
P	45.28	79.54	45.84	37.96	57.8	70.23	69.55	28.83	30.37	17.95	12.34
P	53.54	96.82	55.53	50.05	71.46	89.6	88.41	30.94	40.78	22.13	17.5
P	47.13	95.08	51.99	52.04	70.85	91.05	93.39	32.97	39.83	22.76	16.63
P	50.62	83.26	51.73	39.78	66.47	81.33	81.6	30.67	31.48	20.64	15.34
P	51.24	103.55	50.88	56.36	65.41	80.91	87.44	29.79	42.18	22.64	16.72
P	58.72	93.33	56.69	43.74	72.0	87.16	80.75	28.65	36.82	22.38	15.63
P	53.82	96.03	52.75	46.09	64.58	75.01	85.7	28.97	34.73	20.2	14.88
P	52.08	105.79	53.9	59.14	70.82	89.21	93.53	35.34	46.45	25.12	17.69
P	36.53	65.92	39.0	32.39	50.98	58.06	63.1	20.19	24.1	16.63	10.89
P	33.0	58.54	34.9	28.77	46.61	56.23	56.64	16.75	24.11	15.72	10.57
P	38.4	65.62	39.86	33.44	49.97	59.1	57.67	20.23	27.09	15.72	11.09
