individual	Taxon	Habitat	ACF	APD	B	DistRad	DMTD	DTArea	LML	MIN	MML	PMTD	ProxRad	PTArea	WAF	WAT
NMNH173877	Kobus_ellipsiprymnus	HC	906.94	6.81	23.38	12.82	2.9	1259.97	53.57	42.82	51.33	7.83	15.5	1934.89	33.83	35
NMNH21898	Kobus_ellipsiprymnus	HC	858.36	7.67	25.83	13.11	3.14	1311.68	59.39	47.6	54.91	8.79	16.26	2020.46	34.53	35.71
AMNH36396	Kobus_kob	LC	561.84	6.01	18.69	10.61	1.68	886.65	44.15	36.59	41.45	5.61	12.27	1248.81	25.86	26.58
AMNH36397	Kobus_kob	LC	452.34	5.58	19.22	9.68	2.16	776.42	43.25	34.88	39.82	6.27	11.09	1040.56	23.35	25.31
AMNH82129	Kobus_kob	LC	NA	6.49	18.56	10.19	1.26	737.87	41.45	34.75	39.42	5.3	11	1107.86	24.09	25.14
AMNH82130	Kobus_kob	LC	NA	6.21	20.62	10	2.71	905.48	45.17	36.29	42.38	6.34	12	1314.36	27.78	28.52
AMNH82173	Kobus_kob	LC	NA	6.32	17.62	9.26	1.7	633.84	40.95	32.97	38.22	6.28	11.44	1010.56	24.44	24.07
AMNH70010	Kobus_leche	HC	NA		23.3	11	1.41	NA	47.03	39.94	46.37	5.86	12.2	NA	28.44	27.57
AMNH99649	Kobus_leche	HC	583.9	6.41	21.09	10.68	2.28	811.73	45.49	37.22	44.16	6.05	12.5	1271.03	26.22	27.03
NMNH254927	Kobus_leche	HC	530.67	5.02	19.91	10.14	2.61	668.08	43.12	34.95	41.35	5.63	11.5	1188.18	25.01	26.45
AMNH113784	Kobus_megaceros	HC	531.07	5.62	19.13	10.16	2.04	767.83	43.65	34.93	40.8	6.73	11.72	1082.97	25.15	26.18
AMNH82135	Kobus_megaceros	HC	NA	6.95	17.75	10.66	2.21	696.47	43.02	35.49	41.13	5.31	12.72	1204.09	24.47	25.46
AMNH82136	Kobus_megaceros	HC	NA	6.49	19.31	10	2.29	785.74	45.7	36.32	42.31	7.4	13	1350.28	27.38	26.4
AMNH82137	Kobus_megaceros	HC	NA	5.37	17.21	9.72	2.25	681.7	41.33	32.86	38.24	6.42	11.24	1040.22	24.69	25.76
AMNH35323	Kobus_vardonii	HC	567.57	11.06	21.53	10.71	2.06	846.6	46.05	37.84	44.99	6.08	12.79	1384.85	26.7	27.62
AMNH70057	Kobus_vardonii	HC	NA	6.46	21.66	10.5	2.24	864.33	46.17	37.99	44.76	6.13	12.28	1208.32	27.59	27.06
AMNH81687	Kobus_vardonii	HC	509.58	9.23	16.68	9.18	1.52	685.03	40.99	32.88	37.74	6.59	12.31	1174	24.73	25.82
AMNH35493	Redunca_arundinum	LC	425.65	5.81	15.65	9.77	1.81	685.63	39.68	30.44	35.39	7.5	10	995.84	23.07	23.95
AMNH80506	Redunca_arundinum	LC	NA	5.19	15.34	9.32	1.92	561.34	37.89	29.79	35.74	6.21	11	862.6	22.16	22.03
NMNH367428	Redunca_arundinum	LC	389.29	5.59	17.05	9.32	1.73	559.29	38.95	30.48	36.22	6.83	9.91	900.7	22.82	22.57
NMNH367452	Redunca_arundinum	LC	NA		16.75	9.91	1.47	NA	37.96	31.06	36.24	5.37	9.64	NA	24.26	23.54
NMNH469909	Redunca_arundinum	LC	267.55	3.92	12.96	7.39	1.9	366.44	31.7	24.95	29.14	4.89	8.77	596.04	18.65	18.25
AMNH27803	Redunca_fulvorufula	LC	312.66	4.68	15.01	7.5	1.42	482.79	32.27	26.49	31.14	4.4	8.78	628.68	18.99	20.08
AMNH82063	Redunca_fulvorufula	LC	245.24	3.7	14.24	7.13	1.46	384.32	31.4	25.85	29.77	3.93	8.5	615.89	19.09	18.63
AMNH82066	Redunca_fulvorufula	LC	253.82	3.96	12.86	7.5	1.62	379.71	30.41	23.84	28.42	4.89	8.14	584.19	18.42	18.58
AMNH82067	Redunca_fulvorufula	LC	261.04	3.99	13.55	7.12	1.69	411.1	31.45	25.11	29.39	4.64	8.71	614.91	18.72	18.37
AMNH53294	Redunca_redunca	LC	352.09	4.46	15.79	8.73	1.59	589.25	36.48	29.5	33.82	5.39	9.5	807.12	20.31	20.98
AMNH53296	Redunca_redunca	LC	358	5.39	16.91	8.78	1.58	594.95	37.12	30.05	35.38	5.53	9.88	871.68	21.71	20.97
